full_name,team,also_team, also_name
Atlanta Hawks,ATL,ATL,Atlanta
Brooklyn Nets,BKN,BRK,Brooklyn
Boston Celtics,BOS,BOS,Boston
Charlotte Hornets,CHA,CHO,Charlotte
Chicago Bulls,CHI,CHI,Chicago
Cleveland Cavaliers,CLE,CLE,Cleveland
Dallas Mavericks,DAL,DAL,Dallas
Denver Nuggets,DEN,DEN,Denver
Detroit Pistons,DET,DET,Detroit
Golden State Warriors,GSW,GSW,Golden State
Houston Rockets,HOU,HOU,Houston
Indiana Pacers,IND,IND,Indiana
Los Angeles Clippers,LAC,LAC,LA Clippers
Los Angeles Lakers,LAL,LAL,LA Lakers
Memphis Grizzlies,MEM,MEM,Memphis
Miami Heat,MIA,MIA,Miami
Milwaukee Bucks,MIL,MIL,Milwaukee
Minnesota Timberwolves,MIN,MIN,Minnesota
New Orleans Pelicans,NOP,NOP,New Orleans
New York Knicks,NYK,NYK,New York
Oklahoma City Thunder,OKC,OKC,Oklahoma City
Orlando Magic,ORL,ORL,Orlando
Philadelphia 76ers,PHI,PHI,Philadelphia 76Ers
Phoenix Suns,PHX,PHO,Phoenix
Portland Trail Blazers,POR,POR,Portland
Sacramento Kings,SAC,SAC,Sacramento
San Antonio Spurs,SAS,SAS,San Antonio
Toronto Raptors,TOR,TOR,Toronto
Utah Jazz,UTA,UTA,Utah
Washington Wizards,WAS,WAS,Washington
